#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
,MAR03905,,ethanol[c] + NAD+[c] => acetaldehyde[c] + H+[c] + NADH[c],1.1.1.1;1.1.1.71,Adh1 or Adh4 or Adh5 or Adh6b or Adh7 or Adhfe1 or Zadh2,,,,,,Glycolysis / Gluconeogenesis,,,PMID:10868354;PMID:12491384;PMID:12818203;PMID:14674758;PMID:15289102;PMID:15299346;PMID:15327949;PMID:15682493;PMID:15713978,0
,MAR02716,,"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[m] + L-carnitine[m] <=> (6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[m] + CoA[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02718,,"(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine[c] + L-carnitine[m] <=> (8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine[m] + L-carnitine[c]",,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02719,,"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[m] + L-carnitine[m] <=> (8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine[m] + CoA[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02722,,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[c] + L-carnitine[m] <=> (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[m] + L-carnitine[c]",,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02724,,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[m] + L-carnitine[m] <=> (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[m] + CoA[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02727,,"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[c] + L-carnitine[m] <=> (7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[m] + L-carnitine[c]",,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02729,,"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[m] + L-carnitine[m] <=> (7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[m] + CoA[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02731,,docosahexaenoylcarnitine[m] + L-carnitine[c] <=> docosahexaenoylcarnitine[c] + L-carnitine[m],,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02732,,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[m] + L-carnitine[m] <=> CoA[m] + docosahexaenoylcarnitine[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02734,,"(11Z,14Z,17Z)-eicosatrienoylcarnitine[c] + L-carnitine[m] <=> (11Z,14Z,17Z)-eicosatrienoylcarnitine[m] + L-carnitine[c]",,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02735,,"(11Z,14Z,17Z)-eicosatrienoyl-CoA[m] + L-carnitine[m] <=> (11Z,14Z,17Z)-eicosatrienoylcarnitine[m] + CoA[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02737,,"13,16,19-docosatrienoylcarnitine[c] + L-carnitine[m] <=> 13,16,19-docosatrienoylcarnitine[m] + L-carnitine[c]",,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02738,,"13,16,19-docosatrienoyl-CoA[m] + L-carnitine[m] <=> 13,16,19-docosatrienoylcarnitine[m] + CoA[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02740,,"10,13,16,19-docosatetraenoylcarnitine[c] + L-carnitine[m] <=> 10,13,16,19-docosatetraenoylcarnitine[m] + L-carnitine[c]",,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02741,,"10,13,16,19-docosatetraenoyl-CoA[m] + L-carnitine[m] <=> 10,13,16,19-docosatetraenoylcarnitine[m] + CoA[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02744,,L-carnitine[c] + linoleic-carnitine[m] <=> L-carnitine[m] + linoleic-carnitine[c],,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02745,,CoA[m] + linoleic-carnitine[m] => L-carnitine[m] + linoleoyl-CoA[m],2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02748,,gamma-linolenoylcarnitine[m] + L-carnitine[c] <=> gamma-linolenoylcarnitine[c] + L-carnitine[m],,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02750,,CoA[m] + gamma-linolenoylcarnitine[m] <=> gamma-linolenoyl-CoA[m] + L-carnitine[m],2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02753,,eicosatrienoylcarnitine[m] + L-carnitine[c] <=> eicosatrienoylcarnitine[c] + L-carnitine[m],,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02754,,CoA[m] + eicosatrienoylcarnitine[m] <=> dihomo-gamma-linolenoyl-CoA[m] + L-carnitine[m],2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02757,,arachidonyl-carnitine[m] + L-carnitine[c] <=> arachidonyl-carnitine[c] + L-carnitine[m],,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02758,,arachidonyl-carnitine[m] + CoA[m] <=> arachidonyl-CoA[m] + L-carnitine[m],2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02760,,L-carnitine[c] + ocosatetraenoylcarnitine[m] <=> L-carnitine[m] + ocosatetraenoylcarnitine[c],,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02761,,"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[m] + L-carnitine[m] <=> CoA[m] + ocosatetraenoylcarnitine[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02764,,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[c] + L-carnitine[m] <=> (4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[m] + L-carnitine[c]",,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02766,,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[m] + L-carnitine[m] <=> (4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[m] + CoA[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02769,,eicosadienoylcarnitine[m] + L-carnitine[c] <=> eicosadienoylcarnitine[c] + L-carnitine[m],,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02770,,"(11Z,14Z)-eicosadienoyl-CoA[m] + L-carnitine[m] <=> CoA[m] + eicosadienoylcarnitine[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02772,,"(13Z,16Z)-docosadienoylcarnitine[c] + L-carnitine[m] <=> (13Z,16Z)-docosadienoylcarnitine[m] + L-carnitine[c]",,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02773,,"(13Z,16Z)-docosadienoyl-CoA[m] + L-carnitine[m] <=> (13Z,16Z)-docosadienoylcarnitine[m] + CoA[m] + H+[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02775,,"10,13,16-docosatrienoylcarnitine[c] + L-carnitine[m] <=> 10,13,16-docosatrienoylcarnitine[m] + L-carnitine[c]",,Slc22a1 or Slc22a27 or Slc22a28 or Slc22a29 or Slc22a30 or Slc22a4 or Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR02776,,"10,13,16-docosatrienoyl-CoA[m] + L-carnitine[m] <=> 10,13,16-docosatrienoylcarnitine[m] + CoA[m]",2.3.1.7,Cpt2 or Crat,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR03519,,"4(R),8-dimethyl-nonanoyl-CoA[m] + L-carnitine[m] <=> 4,8-dimethylnonanoylcarnitine[m] + CoA[m]",,,,,,,,Carnitine shuttle (mitochondrial),,,,0
,MAR03027,,L-carnitine[c] + malonyl-carnitin[p] <=> L-carnitine[p] + malonyl-carnitin[c],,,,,,,,Carnitine shuttle (peroxisomal),,,PMID:14598172;PMID:18406340;PMID:6361812;PMID:8132483;PMID:1735445;PMID:1988962;PMID:2351134;PMID:2355017;PMID:7892212,0
,MAR03028,,CoA[p] + malonyl-carnitin[p] <=> L-carnitine[p] + malonyl-CoA[p],2.3.1.21,Cpt1a or Cpt1b or Cpt1c,,,,,,Carnitine shuttle (peroxisomal),,,PMID:1735445;PMID:1988962;PMID:2355017;PMID:6361812;PMID:7892212,0
,MAR03029,,L-carnitine[c] + O-acetylcarnitine[p] <=> L-carnitine[p] + O-acetylcarnitine[c],,Crat,,,,,,Carnitine shuttle (peroxisomal),,,PMID:14598172;PMID:1735445;PMID:18406340;PMID:1988962;PMID:2351134;PMID:2355017;PMID:6361812;PMID:7892212;PMID:8132483,0
,MAR03030,,CoA[p] + O-acetylcarnitine[p] <=> acetyl-CoA[p] + L-carnitine[p],2.3.1.7,Crat,,,,,,Carnitine shuttle (peroxisomal),,,PMID:2351134;PMID:12562770;PMID:14598172;PMID:2351134;PMID:6361812;PMID:8132483,0
,MAR03033,,L-carnitine[c] + L-octanoylcarnitine[p] <=> L-carnitine[p] + L-octanoylcarnitine[c],,Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (peroxisomal),,,PMID:14598172;PMID:18406340;PMID:6361812;PMID:8132483;PMID:1735445;PMID:1988962;PMID:2351134;PMID:2355017;PMID:7892212,0
,MAR03034,,CoA[p] + L-octanoylcarnitine[p] <=> L-carnitine[p] + octanoyl-CoA[p],2.3.1.137,Crot,,,,,,Carnitine shuttle (peroxisomal),,,PMID:1735445;PMID:1988962;PMID:2355017;PMID:6361812;PMID:7892212,0
,MAR03035,,L-carnitine[c] + O-propanoylcarnitine[p] <=> L-carnitine[p] + O-propanoylcarnitine[c],,Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (peroxisomal),,,,0
,MAR03037,,CoA[p] + O-propanoylcarnitine[p] <=> L-carnitine[p] + propanoyl-CoA[p],2.3.1.137,Crat,,,,,,Carnitine shuttle (peroxisomal),,,PMID:2351134;PMID:12562770,0
,MAR02778,,L-carnitine[c] + O-acetylcarnitine[r] <=> L-carnitine[r] + O-acetylcarnitine[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,PMID:14598172;PMID:18406340;PMID:6361812;PMID:8132483;PMID:1735445;PMID:1988962;PMID:2351134;PMID:2355017;PMID:7892212,0
,MAR02780,,CoA[r] + O-acetylcarnitine[r] <=> acetyl-CoA[r] + L-carnitine[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,PMID:14598172;PMID:2351134;PMID:6361812;PMID:8132483,0
,MAR02783,,L-carnitine[c] + malonyl-carnitin[r] <=> L-carnitine[r] + malonyl-carnitin[c],,Slc25a20 or Slc25a29,,,,,,Carnitine shuttle (endoplasmic reticular),,,PMID:14598172;PMID:18406340;PMID:6361812;PMID:8132483;PMID:1735445;PMID:1988962;PMID:2351134;PMID:2355017;PMID:7892212,0
,MAR02785,,CoA[r] + malonyl-carnitin[r] <=> L-carnitine[r] + malonyl-CoA[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,PMID:1735445;PMID:1988962;PMID:2355017;PMID:6361812;PMID:7892212,0
,MAR02787,,dodecanoylcarnitine[r] + L-carnitine[c] <=> dodecanoylcarnitine[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02788,,CoA[r] + dodecanoylcarnitine[r] <=> lauroyl-CoA[r] + L-carnitine[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02789,,L-carnitine[c] + tridecanoylcarnitine[r] <=> L-carnitine[r] + tridecanoylcarnitine[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02790,,CoA[r] + tridecanoylcarnitine[r] <=> L-carnitine[r] + tridecanoyl-CoA[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02791,,L-carnitine[c] + tetradecanoylcarnitine[r] <=> L-carnitine[r] + tetradecanoylcarnitine[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02792,,CoA[r] + tetradecanoylcarnitine[r] <=> L-carnitine[r] + myristoyl-CoA[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02793,,L-carnitine[c] + tetradecenoylcarnitine(5)[r] <=> L-carnitine[r] + tetradecenoylcarnitine(5)[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02794,,(9E)-tetradecenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + tetradecenoylcarnitine(5)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02795,,L-carnitine[c] + tetradecenoylcarnitine(7)[r] <=> L-carnitine[r] + tetradecenoylcarnitine(7)[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02796,,(7Z)-tetradecenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + tetradecenoylcarnitine(7)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02797,,L-carnitine[c] + tetradecenoylcarnitine(9)[r] <=> L-carnitine[r] + tetradecenoylcarnitine(9)[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02798,,5-tetradecenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + tetradecenoylcarnitine(9)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02799,,L-carnitine[c] + pentadecanoylcarnitine[r] <=> L-carnitine[r] + pentadecanoylcarnitine[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02800,,CoA[r] + pentadecanoylcarnitine[r] <=> L-carnitine[r] + pentadecanoyl-CoA[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02801,,L-carnitine[c] + L-palmitoylcarnitine[r] <=> L-carnitine[r] + L-palmitoylcarnitine[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,PMID:14598172;PMID:18406340;PMID:6361812;PMID:8132483;PMID:1735445;PMID:1988962;PMID:2351134;PMID:2355017;PMID:7892212PMID:9399886,0
,MAR02803,,CoA[r] + L-palmitoylcarnitine[r] <=> L-carnitine[r] + palmitoyl-CoA[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,PMID:1735445;PMID:1988962;PMID:2355017;PMID:6361812;PMID:7892212PMID:7711730,0
,MAR02805,,hexadecenoylcarnitine(9)[r] + L-carnitine[c] <=> hexadecenoylcarnitine(9)[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02806,,7-hexadecenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + hexadecenoylcarnitine(9)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02807,,L-carnitine[c] + palmitoleoyl-carnitine[r] <=> L-carnitine[r] + palmitoleoyl-carnitine[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,PMID:14598172;PMID:18406340;PMID:6361812;PMID:8132483;PMID:1735445;PMID:1988962;PMID:2351134;PMID:2355017;PMID:7892212,0
,MAR02809,,CoA[r] + palmitoleoyl-carnitine[r] <=> L-carnitine[r] + palmitoleoyl-CoA[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,PMID:1735445;PMID:1988962;PMID:2355017;PMID:6361812;PMID:7892212,0
,MAR02811,,heptadecanoylcarnitine[r] + L-carnitine[c] <=> heptadecanoylcarnitine[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02812,,CoA[r] + heptadecanoylcarnitine[r] <=> heptadecanoyl-CoA[r] + L-carnitine[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02813,,heptadecenoylcarnitine(7)[r] + L-carnitine[c] <=> heptadecenoylcarnitine(7)[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02814,,(10Z)-heptadecenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + heptadecenoylcarnitine(7)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02815,,heptadecenoylcarnitine(8)[r] + L-carnitine[c] <=> heptadecenoylcarnitine(8)[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02816,,9-heptadecenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + heptadecenoylcarnitine(8)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02817,,L-carnitine[c] + stearoylcarnitine[r] <=> L-carnitine[r] + stearoylcarnitine[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02819,,CoA[r] + stearoylcarnitine[r] <=> L-carnitine[r] + stearoyl-CoA[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02821,,L-carnitine[c] + octadecenoylcarnitine(5)[r] <=> L-carnitine[r] + octadecenoylcarnitine(5)[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02822,,(13Z)-octadecenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + octadecenoylcarnitine(5)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02823,,L-carnitine[c] + octadecenoylcarnitine(7)[r] <=> L-carnitine[r] + octadecenoylcarnitine(7)[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02824,,CoA[r] + octadecenoylcarnitine(7)[r] <=> cis-vaccenoyl-CoA[r] + L-carnitine[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02825,,L-carnitine[r] + L-oleoylcarnitine[c] => L-carnitine[c] + L-oleoylcarnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,PMID:14598172;PMID:18406340;PMID:6361812;PMID:8132483;PMID:1735445;PMID:1988962;PMID:2351134;PMID:2355017;PMID:7892212,0
,MAR02827,,CoA[r] + L-oleoylcarnitine[r] <=> L-carnitine[r] + oleoyl-CoA[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,PMID:1735445;PMID:1988962;PMID:2355017;PMID:6361812;PMID:7892212,0
,MAR02829,,(9E)-octadecenoylcarnitine[c] + L-carnitine[r] => (9E)-octadecenoylcarnitine[r] + L-carnitine[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02830,,(9E)-octadecenoylcarnitine[r] + CoA[r] => (9E)-octadecenoyl-CoA[r] + L-carnitine[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02831,,L-carnitine[c] + octadecenoylcarnitine(11)[r] <=> L-carnitine[r] + octadecenoylcarnitine(11)[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02832,,(7Z)-octadecenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + octadecenoylcarnitine(11)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02833,,"(6Z,9Z)-octadecadienoylcarnitine[c] + L-carnitine[r] => (6Z,9Z)-octadecadienoylcarnitine[r] + L-carnitine[c]",,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02834,,"(6Z,9Z)-octadecadienoylcarnitine[r] + CoA[r] => (6Z,9Z)-octadecadienoyl-CoA[r] + L-carnitine[r]",2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02835,,L-carnitine[c] + nonadecanoylcarnitine[r] <=> L-carnitine[r] + nonadecanoylcarnitine[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02836,,CoA[r] + nonadecanoylcarnitine[r] <=> L-carnitine[r] + nonadecanoyl-CoA[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02837,,eicosanoylcarnitine[r] + L-carnitine[c] <=> eicosanoylcarnitine[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02838,,CoA[r] + eicosanoylcarnitine[r] <=> eicosanoyl-CoA[r] + L-carnitine[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02839,,eicosenoylcarnitine(9)[r] + L-carnitine[c] <=> eicosenoylcarnitine(9)[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02840,,(11Z)-eicosenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + eicosenoylcarnitine(9)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02841,,eicosenoylcarnitine(11)[r] + L-carnitine[c] <=> eicosenoylcarnitine(11)[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02842,,9-eicosenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + eicosenoylcarnitine(11)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02843,,eicosenoylcarnitine(7)[r] + L-carnitine[c] <=> eicosenoylcarnitine(7)[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02844,,(13Z)-eicosenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + eicosenoylcarnitine(7)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02845,,"(8Z,11Z)-eicosadienoylcarnitine[c] + L-carnitine[r] <=> (8Z,11Z)-eicosadienoylcarnitine[r] + L-carnitine[c]",,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02846,,"(8Z,11Z)-eicosadienoyl-CoA[r] + L-carnitine[r] <=> (8Z,11Z)-eicosadienoylcarnitine[r] + CoA[r]",2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02847,,"(5Z,8Z,11Z)-eicosatrienoylcarnitine[c] + L-carnitine[r] <=> (5Z,8Z,11Z)-eicosatrienoylcarnitine[r] + L-carnitine[c]",,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02848,,"(5Z,8Z,11Z)-eicosatrienoyl-CoA[r] + L-carnitine[r] <=> (5Z,8Z,11Z)-eicosatrienoylcarnitine[r] + CoA[r]",2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02849,,heneicosanoylcarnitine[r] + L-carnitine[c] <=> heneicosanoylcarnitine[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02850,,CoA[r] + heneicosanoylcarnitine[r] <=> heneicosanoyl-CoA[r] + L-carnitine[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02851,,docosanoylcarnitine[r] + L-carnitine[c] <=> docosanoylcarnitine[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02852,,CoA[r] + docosanoylcarnitine[r] <=> docosanoyl-CoA[r] + L-carnitine[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02853,,docosenoylcarnitine[r] + L-carnitine[c] <=> docosenoylcarnitine[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02854,,(13Z)-docosenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + docosenoylcarnitine[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02855,,docosenoylcarnitine(11)[r] + L-carnitine[c] <=> docosenoylcarnitine(11)[c] + L-carnitine[r],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02856,,(11Z)-docosenoyl-CoA[r] + L-carnitine[r] <=> CoA[r] + docosenoylcarnitine(11)[r],2.3.1.7,Crat,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
,MAR02857,,L-carnitine[c] + octadecatrienoylcarnitine[r] <=> L-carnitine[r] + octadecatrienoylcarnitine[c],,Slc22a5,,,,,,Carnitine shuttle (endoplasmic reticular),,,,0
